venta_id,cliente_id,producto_id,canal,cantidad,precio_unitario,descuento_pct,total_venta,metodo_pago,estado_venta,fecha_venta,zona_tienda
VN-0000001,CLI-01383,PRD-0047,tienda_norte,2,182.3,25,364.6,tarjeta,completada,2026-03-23 03:52:27,zona_a
VN-0000002,CLI-01790,PRD-0110,tienda_norte,7,198.38,5,1388.66,tarjeta,completada,2026-01-11 06:11:57,zona_b
VN-0000003,CLI-00991,PRD-0093,tienda_norte,4,901.82,0,3607.28,efectivo,completada,2026-01-24 13:20:21,zona_d
VN-0000004,CLI-01487,PRD-0026,tienda_norte,4,1106.95,5,4427.8,efectivo,completada,2026-01-15 15:05:25,zona_c
VN-0000005,CLI-00424,PRD-0116,tienda_norte,6,8.75,5,52.5,efectivo,completada,2026-01-12 15:46:03,zona_c
VN-0000006,CLI-02440,PRD-0007,tienda_norte,2,19.86,0,39.72,tarjeta,completada,2026-01-18 07:54:56,zona_b
VN-0000007,CLI-00579,PRD-0073,tienda_norte,1,68.02,0,68.02,tarjeta,completada,2026-03-28 04:22:56,zona_a
VN-0000008,CLI-00897,PRD-0166,tienda_norte,8,466.77,5,3734.16,efectivo,pendiente,2026-01-20 20:05:35,zona_a
VN-0000009,CLI-02205,PRD-0112,tienda_norte,8,230.62,20,1844.96,tarjeta,completada,2026-02-02 19:04:48,zona_b
VN-0000010,CLI-02785,PRD-0193,tienda_norte,8,41.94,10,335.52,transferencia,completada,2026-03-27 05:30:42,zona_c
VN-0000011,CLI-01393,PRD-0145,tienda_norte,8,340.64,0,2725.12,tarjeta,devuelta,2026-03-13 10:57:03,zona_d
VN-0000012,CLI-01465,PRD-0062,tienda_norte,8,121.18,5,969.44,yape,completada,2026-01-09 17:07:03,zona_a
VN-0000013,CLI-02428,PRD-0035,tienda_norte,1,97.79,10,97.79,efectivo,devuelta,2026-02-18 05:00:40,zona_b
VN-0000014,CLI-00815,PRD-0146,tienda_norte,8,85.82,0,686.56,yape,completada,2026-02-26 13:14:32,zona_d
VN-0000015,CLI-00174,PRD-0158,tienda_norte,7,218.54,5,1529.78,yape,completada,2026-03-29 12:15:09,zona_a
VN-0000016,CLI-02387,PRD-0157,tienda_norte,1,242.32,10,242.32,tarjeta,completada,2026-02-19 09:44:33,zona_c
