venta_id,cliente_id,producto_id,canal,cantidad,precio_unitario,descuento_pct,total_venta,metodo_pago,estado_venta,fecha_venta,zona_tienda
VS-0000001,CLI-02861,PRD-0184,tienda_sur,8,134.46,10,1075.68,efectivo,completada,2026-03-28 21:38:26,zona_a
VS-0000002,CLI-01537,PRD-0146,tienda_sur,7,68.66,20,480.62,tarjeta,completada,2026-03-15 17:19:43,zona_c
VS-0000003,CLI-00363,PRD-0127,tienda_sur,5,38.99,5,194.95,tarjeta,completada,2026-03-11 23:02:40,zona_c
VS-0000004,CLI-02091,PRD-0162,tienda_sur,1,80.44,5,80.44,tarjeta,completada,2026-02-11 17:04:47,zona_c
VS-0000005,CLI-00617,PRD-0162,tienda_sur,6,84.67,0,508.02,transferencia,completada,2026-03-07 19:52:17,zona_c
VS-0000006,CLI-01520,PRD-0002,tienda_sur,6,34.18,5,205.08,yape,completada,2026-02-04 06:58:23,zona_d
VS-0000007,CLI-02401,PRD-0063,tienda_sur,4,215.94,0,863.76,transferencia,completada,2026-03-08 14:34:32,zona_c
VS-0000008,CLI-02184,PRD-0159,tienda_sur,8,903.06,20,7224.48,transferencia,completada,2026-01-04 08:15:14,zona_a
VS-0000009,CLI-00665,PRD-0024,tienda_sur,1,128.93,5,128.93,efectivo,completada,2026-03-13 21:07:37,zona_c
VS-0000010,CLI-00204,PRD-0151,tienda_sur,5,122.91,20,614.55,yape,completada,2026-01-06 21:40:22,zona_a
VS-0000011,CLI-01802,PRD-0100,tienda_sur,2,362.73,0,725.46,tarjeta,completada,2026-03-19 00:10:41,zona_d
VS-0000012,CLI-00139,PRD-0021,tienda_sur,4,16.39,10,65.56,transferencia,completada,2026-01-21 21:52:01,zona_a
VS-0000013,CLI-02055,PRD-0119,tienda_sur,2,153.16,10,306.32,tarjeta,completada,2026-01-27 17:17:28,zona_d
VS-0000014,CLI-02844,PRD-0167,tienda_sur,1,127.22,20,127.22,tarjeta,completada,2026-03-13 19:58:55,zona_d
VS-0000015,CLI-00491,PRD-0105,tienda_sur,1,78.57,0,78.57,efectivo,completada,2026-01-06 12:30:18,zona_d
VS-0000016,CLI-02614,PRD-0012,tienda_sur,3,154.12,0,462.36,efectivo,completada,2026-02-21 08:39:43,zona_a
VS-0000017,CLI-01501,PRD-0089,tienda_sur,5,58.61,15,293.05,transferencia,completada,2026-02-12 04:27:15,zona_c
VS-0000018,CLI-00051,PRD-0118,tienda_sur,7,47.91,10,335.37,transferencia,completada,2026-03-31 09:12:38,zona_b
VS-0000019,CLI-00383,PRD-0186,tienda_sur,3,72.35,5,217.05,yape,completada,2026-02-15 04:52:52,zona_b
VS-0000020,CLI-01295,PRD-0124,tienda_sur,7,163.42,5,1143.94,tarjeta,completada,2026-01-09 13:33:58,zona_d
VS-0000021,CLI-00427,PRD-0117,tienda_sur,7,154.72,0,1083.04,yape,completada,2026-03-18 03:42:50,zona_d
VS-0000022,CLI-00202,PRD-0015,tienda_sur,8,54.47,5,435.76,yape,completada,2026-03-07 01:30:58,zona_c
VS-0000023,CLI-01448,PRD-0192,tienda_sur,3,93.06,0,279.18,yape,completada,2026-01-25 13:43:31,zona_b
VS-0000024,CLI-02936,PRD-0135,tienda_sur,7,111.43,10,780.01,efectivo,completada,2026-01-15 07:02:34,zona_c
