producto_id,nombre_producto,categoria,unidades_vendidas,ingreso_total,precio_promedio,margen_total
PRD-0092,Electronica Imagen Miguel,electronica,278,295153.72,1067.48,107751.14
PRD-0026,Electronica Tales Hubiera,electronica,266,291885.26,1093.24,158608.62
PRD-0101,Electronica Algunas Actividad,electronica,232,244539.27,1044.7,118843.99
PRD-0115,Electronica Puntos Unión,electronica,228,240502.26,1052.85,136155.78
PRD-0153,Electronica Pocos Tengo,electronica,213,234466.07,1107.64,88541.9
PRD-0177,Electronica Está Puntos,electronica,229,227149.33,1001.59,117279.71
PRD-0150,Electronica Última Debía,electronica,276,208664.25,757.08,70573.17
PRD-0169,Electronica Eran Padres,electronica,205,201711.44,988.97,88272.64
PRD-0126,Electronica Y Semana,electronica,201,192841.25,962.09,90094.07
PRD-0061,Electronica Silencio Mediante,electronica,237,191222.75,801.84,77441.42
PRD-0049,Electronica Pasar Nombre,electronica,191,188248.71,987.44,86233.7
PRD-0159,Electronica Visto Claro,electronica,181,187723.06,1032.87,81477.87
PRD-0008,Electronica Habría Salud,electronica,174,181375.48,1044.21,56138.98
PRD-0066,Electronica Dónde Formación,electronica,226,170903.31,755.73,78345.01
PRD-0098,Electronica Consejo Santa,electronica,220,161969.24,742.09,86933.84
PRD-0093,Electronica Análisis Precios,electronica,196,161335.94,828.82,76493.42
PRD-0165,Electronica Teatro Época,electronica,173,147204.38,849.47,84012.67
PRD-0121,Electronica Muy Cierta,electronica,173,139094.59,812.92,61298.22
PRD-0070,Electronica Estudios Problemas,electronica,296,138595.89,470.97,64868.21
PRD-0017,Electronica Estos Tierra,electronica,185,127278.15,694.45,68411.15
