message_key,kafka_timestamp,event_id,venta_id,event_type,canal,cliente_id,segmento,producto_id,categoria,cantidad,precio_base,descuento_pct,precio_final,monto_venta,metodo_pago,stock_actual,alerta,event_timestamp,processing_timestamp,batch_id
VS-0001966,2026-05-14 01:19:10.052,EVT-0000276,VS-0001966,venta_iniciada,tienda_sur,CLI-00310,recurrente,PRD-0071,belleza,5,71.07,10.0,63.96,319.8,efectivo,201,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VN-0001304,2026-05-14 01:19:10.155,EVT-0000277,VN-0001304,stock_bajo,tienda_norte,CLI-02738,premium,PRD-0044,hogar,4,105.96,0.0,105.96,423.84,tarjeta,174,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VN-0005351,2026-05-14 01:19:10.257,EVT-0000278,VN-0005351,stock_bajo,tienda_norte,CLI-02966,recurrente,PRD-0044,hogar,5,105.96,0.0,105.96,529.8,yape,94,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VN-0001305,2026-05-14 01:19:10.360,EVT-0000279,VN-0001305,venta_iniciada,tienda_norte,CLI-02503,recurrente,PRD-0119,ropa,5,170.18,10.0,153.16,765.8,transferencia,78,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VS-0004347,2026-05-14 01:19:10.465,EVT-0000280,VS-0004347,descuento_aplicado,tienda_sur,CLI-01416,nuevo,PRD-0110,deportes,3,208.82,0.0,208.82,626.46,tarjeta,91,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VN-0003005,2026-05-14 01:19:10.571,EVT-0000281,VN-0003005,venta_completada,tienda_norte,CLI-01975,premium,PRD-0173,ropa,6,176.53,0.0,176.53,1059.18,yape,124,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VS-0001558,2026-05-14 01:19:10.675,EVT-0000282,VS-0001558,venta_devuelta,tienda_sur,CLI-01576,premium,PRD-0067,hogar,5,101.45,5.0,96.38,481.9,transferencia,84,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VS-0000217,2026-05-14 01:19:10.780,EVT-0000283,VS-0000217,venta_completada,tienda_sur,CLI-00427,recurrente,PRD-0169,electronica,1,1064.16,15.0,904.54,904.54,efectivo,352,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VN-0005155,2026-05-14 01:19:10.884,EVT-0000284,VN-0005155,venta_completada,tienda_norte,CLI-01107,recurrente,PRD-0113,hogar,5,163.22,10.0,146.9,734.5,tarjeta,28,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VS-0003831,2026-05-14 01:19:10.990,EVT-0000285,VS-0003831,venta_iniciada,tienda_sur,CLI-01376,recurrente,PRD-0100,electronica,2,362.73,5.0,344.59,689.18,yape,52,,2026-05-14 01:19:10,2026-05-14 01:19:20.008,7
VS-0003935,2026-05-14 01:19:11.093,EVT-0000286,VS-0003935,venta_completada,tienda_sur,CLI-00323,premium,PRD-0074,ropa,2,100.23,0.0,100.23,200.46,efectivo,384,,2026-05-14 01:19:11,2026-05-14 01:19:20.008,7
VN-0001098,2026-05-14 01:19:11.198,EVT-0000287,VN-0001098,venta_completada,tienda_norte,CLI-00992,premium,PRD-0134,belleza,3,97.62,5.0,92.74,278.22,tarjeta,45,,2026-05-14 01:19:11,2026-05-14 01:19:20.008,7
VN-0005575,2026-05-14 01:19:11.302,EVT-0000288,VN-0005575,venta_completada,tienda_norte,CLI-01666,recurrente,PRD-0163,ropa,2,92.65,0.0,92.65,185.3,efectivo,122,,2026-05-14 01:19:11,2026-05-14 01:19:20.008,7
VN-0004444,2026-05-14 01:19:11.405,EVT-0000289,VN-0004444,stock_bajo,tienda_norte,CLI-00786,inactivo,PRD-0180,alimentos,6,16.31,0.0,16.31,97.86,efectivo,132,,2026-05-14 01:19:11,2026-05-14 01:19:20.008,7
VS-0003200,2026-05-14 01:19:11.510,EVT-0000290,VS-0003200,venta_completada,tienda_sur,CLI-01916,premium,PRD-0094,ropa,4,38.77,0.0,38.77,155.08,efectivo,138,,2026-05-14 01:19:11,2026-05-14 01:19:20.008,7
