canal,total_eventos,monto_promedio,monto_total,ventas_completadas,alertas_detectadas,batch_id
tienda_sur,3,2547.11,7641.34,3,0,0
tienda_norte,1,275.52,275.52,1,0,0
tienda_norte,40,543.48,21739.01,15,1,1
tienda_sur,40,471.14,18845.71,13,1,1
tienda_sur,44,1074.27,47267.91,16,1,2
tienda_norte,39,963.91,37592.62,8,3,2
tienda_norte,28,1092.05,30577.28,12,1,3
tienda_sur,25,938.26,23456.43,3,3,3
tienda_sur,40,1072.36,42894.31,13,3,4
tienda_norte,42,762.81,32038.1,15,2,4
tienda_norte,54,841.53,45442.75,15,1,5
tienda_sur,44,578.01,25432.22,15,5,5
tienda_norte,49,790.68,38743.3,14,5,6
tienda_sur,46,792.82,36469.81,16,2,6
tienda_sur,48,941.87,45209.89,14,1,7
tienda_norte,49,634.97,31113.56,14,1,7
