categoria,total_eventos,monto_promedio,monto_total,descuento_promedio,eventos_stock_bajo,devoluciones,batch_id
electronica,2,3746.93,7493.86,2.5,0,0,0
deportes,1,275.52,275.52,5.0,0,0,0
ropa,1,147.48,147.48,0.0,0,0,0
electronica,12,1067.04,12804.44,7.5,1,0,1
hogar,17,482.79,8207.42,5.59,1,1,1
deportes,10,703.81,7038.12,9.0,1,0,1
ropa,17,352.54,5993.19,5.0,0,4,1
jugueteria,8,484.57,3876.52,5.63,1,1,1
belleza,8,234.74,1877.91,5.63,1,2,1
alimentos,8,98.39,787.12,5.0,3,0,1
electronica,22,2699.23,59383.09,6.14,2,3,2
deportes,11,979.19,10771.07,6.36,2,0,2
ropa,12,366.37,4396.45,3.75,2,1,2
hogar,10,347.61,3476.11,4.5,0,0,2
jugueteria,8,404.28,3234.27,5.0,2,2,2
belleza,7,340.1,2380.69,8.57,1,0,2
alimentos,13,93.76,1218.85,3.85,1,1,2
electronica,14,2698.41,37777.72,4.29,4,2,3
hogar,10,422.6,4225.96,6.5,0,0,3
deportes,5,823.64,4118.2,12.0,0,0,3
ropa,9,413.09,3717.81,5.0,1,0,3
jugueteria,4,592.98,2371.93,16.25,1,0,3
belleza,5,183.79,918.97,7.0,0,1,3
alimentos,6,150.52,903.12,4.17,3,1,3
electronica,12,3105.98,37271.81,6.25,4,1,4
deportes,17,882.04,14994.73,10.88,4,1,4
hogar,15,653.02,9795.34,7.67,2,3,4
ropa,22,403.36,8873.86,7.95,3,0,4
jugueteria,5,506.01,2530.03,7.0,1,1,4
alimentos,7,110.27,771.89,5.0,1,1,4
belleza,4,173.69,694.75,6.25,1,1,4
electronica,13,2799.44,36392.77,5.38,1,0,5
deportes,16,687.6,11001.56,3.13,0,0,5
ropa,21,454.46,9543.58,9.29,3,3,5
hogar,18,486.05,8748.82,7.22,2,1,5
belleza,16,214.47,3431.52,7.81,1,2,5
jugueteria,3,391.15,1173.46,3.33,0,0,5
alimentos,11,53.02,583.26,10.0,2,1,5
electronica,16,2514.52,40232.32,3.44,3,1,6
hogar,20,661.15,13222.92,6.5,5,1,6
deportes,12,734.08,8808.95,8.75,2,1,6
ropa,22,361.62,7955.64,5.45,4,1,6
jugueteria,6,398.01,2388.05,1.67,1,1,6
alimentos,12,114.51,1374.16,7.08,2,1,6
belleza,7,175.87,1231.07,6.43,1,0,6
electronica,16,2599.49,41591.78,5.63,2,1,7
hogar,18,602.23,10840.09,5.83,4,1,7
ropa,21,452.46,9501.65,4.29,5,0,7
jugueteria,8,598.18,4785.4,4.38,1,1,7
deportes,6,740.34,4442.02,5.83,1,0,7
belleza,15,238.8,3581.98,7.33,1,1,7
alimentos,13,121.58,1580.53,4.23,3,2,7
